questionCode,questionDescription,questionDetail,answer1Code,answer1Detail,answer2Code,answer2Detail,answer3Code,answer3Detail,answer4Code,answer4Detail,correctAnswerCode,,countDown
61acc08c-a9bb-4732-8ea1-7d23b0e10000,1. Where are you from?,1. Where are you from?,5c68383e-ba56-4b55-88bd-8239fbae1000,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491000,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031000,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031000,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491000,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10001,2. Where do you live?,2. Where do you live?,5c68383e-ba56-4b55-88bd-8239fbae1001,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491001,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031001,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031001,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491001,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10002,3. How many siblings do you have?,3. How many siblings do you have?,5c68383e-ba56-4b55-88bd-8239fbae1002,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491002,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031002,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031002,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491002,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10003,4. Are you in a relationship?,4. Are you in a relationship?,5c68383e-ba56-4b55-88bd-8239fbae1003,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491003,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031003,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031003,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491003,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10004,5. What do you do?,5. What do you do?,5c68383e-ba56-4b55-88bd-8239fbae1004,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491004,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031004,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031004,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491004,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10005,6. Do you have any nicknames?,6. Do you have any nicknames?,5c68383e-ba56-4b55-88bd-8239fbae1005,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491005,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031005,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031005,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491005,,30
61acc08c-a9bb-4732-8ea1-7d23b0e10006,7. Where do you study?,7. Where do you study?,5c68383e-ba56-4b55-88bd-8239fbae1006,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491006,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031006,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031006,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491006,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10007,8. How old are you?,8. How old are you?,5c68383e-ba56-4b55-88bd-8239fbae1007,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491007,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031007,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031007,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491007,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10008,9. What?s your favourite color?,9. What?s your favourite color?,5c68383e-ba56-4b55-88bd-8239fbae1008,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491008,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031008,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031008,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491008,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10009,10. What?s your favourite food?,10. What?s your favourite food?,5c68383e-ba56-4b55-88bd-8239fbae1009,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491009,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031009,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031009,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491009,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10010,11. What?s your favourite movie?,11. What?s your favourite movie?,5c68383e-ba56-4b55-88bd-8239fbae1010,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491010,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031010,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031010,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491010,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10011,12. What?s your favourite TV show?,12. What?s your favourite TV show?,5c68383e-ba56-4b55-88bd-8239fbae1011,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491011,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031011,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031011,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491011,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10012,13. What?s your favourite game?,13. What?s your favourite game?,5c68383e-ba56-4b55-88bd-8239fbae1012,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491012,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031012,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031012,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491012,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10013,14. How tall are you?,14. How tall are you?,5c68383e-ba56-4b55-88bd-8239fbae1013,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491013,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031013,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031013,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491013,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10014,15. What?s your weight?,15. What?s your weight?,5c68383e-ba56-4b55-88bd-8239fbae1014,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491014,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031014,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031014,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491014,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10015,16. Who was your first crush?,16. Who was your first crush?,5c68383e-ba56-4b55-88bd-8239fbae1015,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491015,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031015,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031015,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491015,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10016,17. Who was your first partner?,17. Who was your first partner?,5c68383e-ba56-4b55-88bd-8239fbae1016,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491016,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031016,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031016,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491016,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10017,18. What is your birth of date?,18. What is your birth of date?,5c68383e-ba56-4b55-88bd-8239fbae1017,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491017,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031017,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031017,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491017,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10018,19. What are your future plans?,19. What are your future plans?,5c68383e-ba56-4b55-88bd-8239fbae1018,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491018,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031018,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031018,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491018,,50
61acc08c-a9bb-4732-8ea1-7d23b0e10019,20. Do you like or hate your job?,20. Do you like or hate your job?,5c68383e-ba56-4b55-88bd-8239fbae1019,Answer 1 detail,515d3e49-e776-4714-9a7b-5b1624491019,Answer 2 detail,9682561c-3e44-421b-b2ce-6ba692031019,Answer 3 detail,9682561b-3e44-421b-b2ce-6ba692031019,Answer 4 detail,515d3e49-e776-4714-9a7b-5b1624491019,,50
